x0,x1,label
26.254232,19.758827,suzanne_vega
25.863573,21.47561,suzanne_vega
23.853802,21.722055,suzanne_vega
23.567446,22.753187,suzanne_vega
23.886679,20.258993,suzanne_vega
24.728354,16.715841,suzanne_vega
23.811968,24.83259,suzanne_vega
23.090586,22.612339,suzanne_vega
24.810753,22.000755,suzanne_vega
23.908783,17.815216,suzanne_vega
24.564804,17.41521,suzanne_vega
20.854927,22.791515,suzanne_vega
22.34477,22.803978,suzanne_vega
22.14939,21.85685,suzanne_vega
22.981037,21.526789,suzanne_vega
24.03376,17.313074,suzanne_vega
24.515373,17.677065,suzanne_vega
23.802563,17.950266,suzanne_vega
24.205952,20.638998,suzanne_vega
23.932598,22.66301,suzanne_vega
24.010635,20.724096,suzanne_vega
23.704525,18.199986,suzanne_vega
25.085566,20.005953,suzanne_vega
-23.6081,48.11132,tori_amos
-24.282751,49.20338,tori_amos
-24.370934,48.98485,tori_amos
-21.544601,50.98483,tori_amos
-22.507181,55.10287,tori_amos
-14.996555,39.842117,tori_amos
-14.914192,54.51191,tori_amos
-21.898235,58.626324,tori_amos
-15.814404,54.35682,tori_amos
-20.120007,63.7348,tori_amos
-19.64429,52.79688,tori_amos
-17.660896,37.782795,tori_amos
-24.298004,50.45742,tori_amos
-24.422709,51.578053,tori_amos
-24.448643,47.67791,tori_amos
-24.251383,49.40224,tori_amos
-24.157608,47.522,tori_amos
-17.180773,45.449306,tori_amos
-17.018955,38.127472,tori_amos
-18.54243,57.136024,tori_amos
-20.535643,59.16958,tori_amos
-15.113302,57.47776,tori_amos
-20.56791,56.569805,tori_amos
-20.14378,56.100807,tori_amos
-18.043144,38.614777,tori_amos
-23.070189,48.19016,tori_amos
-24.049767,46.781944,tori_amos
-22.863613,42.51498,tori_amos
-21.57965,38.40139,tori_amos
34.481815,-36.762337,fleetwood_mac
44.865364,18.66197,fleetwood_mac
42.031845,19.100096,fleetwood_mac
40.993965,22.534668,fleetwood_mac
44.08389,17.470251,fleetwood_mac
44.570164,14.3349285,fleetwood_mac
-4.1623316,14.294152,fleetwood_mac
47.068985,22.003218,fleetwood_mac
40.98771,22.5099,fleetwood_mac
41.225502,22.564075,fleetwood_mac
42.527264,19.213,fleetwood_mac
3.8401153,9.673787,fleetwood_mac
44.548653,14.613308,fleetwood_mac
44.721073,12.045249,fleetwood_mac
47.713623,22.023487,fleetwood_mac
36.455215,16.6988,fleetwood_mac
44.571358,15.152063,fleetwood_mac
41.368267,15.528287,fleetwood_mac
40.066223,32.78694,fleetwood_mac
39.42813,30.789368,fleetwood_mac
45.13224,13.8078985,fleetwood_mac
41.649307,31.446007,fleetwood_mac
44.063496,21.885206,fleetwood_mac
-13.914275,36.777195,tori_amos
-15.406816,37.84649,tori_amos
-15.875763,37.362118,tori_amos
-25.04063,46.005978,tori_amos
-19.446844,39.576084,tori_amos
3.0038393,30.151602,tori_amos
-16.170267,36.661156,tori_amos
-14.224218,32.71058,tori_amos
-13.323633,30.792593,tori_amos
-13.650564,29.733582,tori_amos
-18.52452,38.985737,tori_amos
-22.585505,43.2419,tori_amos
-17.803661,41.015186,tori_amos
-21.787968,42.434,tori_amos
-14.055607,32.4549,tori_amos
-16.174534,41.40046,tori_amos
-15.729694,34.219036,tori_amos
-15.822222,34.008503,tori_amos
-13.901713,32.340157,tori_amos
-13.407823,31.250053,tori_amos
-13.521004,30.410076,tori_amos
-21.972479,39.001377,tori_amos
-16.815924,41.883625,tori_amos
-14.490598,40.058464,tori_amos
-19.122938,49.70715,tori_amos
-21.888819,54.96163,tori_amos
-19.45056,60.94326,tori_amos
-22.584433,55.232426,tori_amos
-29.729742,45.763546,tori_amos
-12.7837105,42.222645,tori_amos
38.440933,-28.988907,garth_brooks
48.101532,-39.796497,garth_brooks
47.18507,-39.63725,garth_brooks
47.193336,-39.492195,garth_brooks
52.91528,-35.025703,garth_brooks
42.596443,-30.558554,garth_brooks
51.31328,-37.89489,garth_brooks
53.784527,-35.797775,garth_brooks
-10.030582,32.674034,garth_brooks
44.001045,-31.851624,garth_brooks
42.865196,-28.760088,garth_brooks
45.316193,-33.27564,garth_brooks
48.357304,-38.04259,garth_brooks
48.433903,-35.68943,garth_brooks
51.199627,-35.959747,garth_brooks
41.995235,-28.527748,garth_brooks
49.605415,-29.850595,garth_brooks
48.310738,-39.72958,garth_brooks
46.701252,-35.824947,garth_brooks
46.90564,-32.502983,garth_brooks
43.857235,-32.36148,garth_brooks
49.57097,-30.357735,garth_brooks
44.39316,-35.423344,garth_brooks
5.935781,19.755468,green_day
-59.84842,-23.9314,green_day
-49.73421,-24.65899,green_day
-49.05964,-24.45251,green_day
-47.500645,-23.31077,green_day
-60.059555,-28.511341,green_day
-54.67607,-30.026144,green_day
-54.27751,-29.884295,green_day
-51.382248,-33.06617,green_day
-56.715,-29.392712,green_day
-55.583504,-28.898626,green_day
-59.022976,-23.667831,green_day
-50.355225,-28.101715,green_day
-50.41918,-28.564384,green_day
-51.443344,-29.015808,green_day
-56.492466,-29.165813,green_day
-54.355457,-27.880312,green_day
-52.299957,-28.408312,green_day
-50.10141,-28.04422,green_day
-51.508083,-27.75996,green_day
-5.5379806,-40.916737,prince
-2.9402626,-39.02903,prince
-9.657433,-40.099667,prince
-3.6859195,-36.4056,prince
-4.905279,-39.286533,prince
-4.395105,-39.10904,prince
-3.5496874,-38.91996,prince
-2.5854158,-35.897396,prince
-2.1453846,-38.243927,prince
-4.045194,-39.427387,prince
-4.5046363,-39.312103,prince
-2.9775662,-37.333004,prince
-4.80915,-39.000557,prince
-2.2671034,-38.287502,prince
-4.423727,-39.116783,prince
-5.1086936,-39.568436,prince
-2.4935832,-37.808857,prince
-6.487714,-40.720253,prince
-2.9732122,-37.425312,prince
-3.7863667,-37.147427,prince
-1.1806502,-39.37045,prince
-4.7838216,-37.399837,prince
-4.4048395,-39.64945,prince
-4.341416,-36.608128,prince
-5.6853,-36.44119,prince
-4.104335,-40.522423,prince
-4.02191,-37.407665,prince
-4.172566,-40.585846,prince
-8.8568945,-33.904476,prince
-4.436492,-39.91668,prince
-4.545489,-39.794025,prince
-9.252486,-38.189304,prince
-35.615635,15.123854,queen
-35.91431,14.743322,queen
-37.615005,12.158562,queen
-35.685116,6.7855444,queen
-38.491703,9.632101,queen
-35.104458,6.8735723,queen
-35.772774,6.5480695,queen
-35.06306,7.1023436,queen
-36.607365,18.551224,queen
-37.434494,7.7690697,queen
-34.215057,4.2291646,queen
-33.84244,4.4256997,queen
-36.33498,8.4268465,queen
-36.29127,9.255435,queen
-38.25087,8.45591,queen
-34.828346,10.071336,queen
-38.063084,10.13239,queen
-36.273945,9.982851,queen
-34.72139,8.979106,queen
-31.919172,7.627436,queen
-29.835514,5.7793155,queen
-34.446922,4.9781523,queen
-35.33897,5.09831,queen
-34.238,4.848815,queen
-32.6927,5.3705525,queen
-34.53998,12.121573,queen
-22.325325,1.9393345,depeche_mode
23.198454,-41.974506,depeche_mode
21.394434,-39.49279,depeche_mode
24.532747,-43.409695,depeche_mode
24.775955,-43.53043,depeche_mode
22.673891,-38.16338,depeche_mode
24.014368,-39.973392,depeche_mode
23.005674,-38.733913,depeche_mode
23.662567,-41.921616,depeche_mode
24.718294,-43.676388,depeche_mode
26.143517,-47.3485,depeche_mode
25.94854,-47.668404,depeche_mode
26.043049,-47.573162,depeche_mode
26.53777,-47.343727,depeche_mode
24.381466,-39.79143,depeche_mode
25.29649,-40.2921,depeche_mode
23.71009,-41.68033,depeche_mode
24.763973,-35.477043,depeche_mode
22.64872,-38.552822,depeche_mode
24.70662,-47.996387,depeche_mode
25.818428,-47.72963,depeche_mode
26.154861,-47.701996,depeche_mode
24.897865,-47.110546,depeche_mode
26.521872,-47.67622,depeche_mode
24.578718,-46.617207,depeche_mode
23.290453,-38.968815,depeche_mode
23.057587,-38.767685,depeche_mode
23.04389,-38.772415,depeche_mode
25.842375,-47.183994,depeche_mode
26.700947,-47.833565,depeche_mode
25.169044,-47.014034,depeche_mode
24.056917,-46.379536,depeche_mode
25.904467,-47.117783,depeche_mode
